加权排名,原始排名,排名变化,Twitter用户名,显示名称,加权总分,原始总分,分数增幅%,出现次数,平均排名,最高排名,最低排名,官方认证,蓝V认证,粉丝数,相关产品列表
213,191,-22,tec_aryan,Aryan Rakib,239.17,167.30,42.96,4,135.5,18,252,✓,,42961,"Lovable 2.0, Lovable 2.0, Claude 4, Claude 4"
214,179,-35,MarketingBrew,Marketing Brew ☕️,237.50,172.44,37.73,3,56.0,47,72,,,26923,"DALL-E 2, DALL-E 2, DALL-E 2"
215,209,-6,peacej,Jerry Chi (ジェリー・チー),235.55,158.01,49.07,7,238.6,22,388,✓,,3847,"Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3"
216,215,-1,Orahbeeni,د. عمر الرهبيني | Dr. Omar AlRahbeeni,234.09,154.74,51.28,3,82.3,31,170,✓,,413802,"Midjourney v6, Veo 2, Veo 2"
217,219,2,mitchellh,Mitchell Hashimoto,233.75,154.01,51.77,5,135.2,59,253,✓,,146020,"Cursor, Cursor, Cursor, Cursor, Cursor"
218,188,-30,David_Rudnick,ཊལབསརངཧ,232.99,168.49,38.28,2,18.5,2,35,,,41119,"Midjourney v1, Midjourney v1"
219,212,-7,airkatakana,Air Katakana,232.06,157.04,47.77,5,182.2,4,386,✓,,30722,"Claude 1, GPT-4.5, Claude 4, GPT-5, Sora 2"
220,197,-23,kmotohas,kazmot,231.94,162.90,42.38,4,94.5,56,143,,,1362,"Amazon Nova, Amazon Nova, Amazon Nova, Claude 3.5 Haiku"
221,240,19,GregKamradt,Greg Kamradt,231.88,141.83,63.49,4,127.2,53,258,✓,,43832,"ChatGPT Agent, ChatGPT Agent, Sora 2, Sora 2"
222,241,19,Firebase,Firebase,231.74,141.76,63.48,4,150.0,44,284,,,213145,"Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5"
223,246,23,ThomasOrTK,Thomas Kurian,229.94,139.97,64.27,7,179.6,112,342,✓,,40876,"GitHub Copilot, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5"
224,226,2,johncoogan,John Coogan,228.65,151.81,50.61,2,32.0,2,62,✓,,60163,"DALL-E 2, ChatGPT Agent"
225,214,-11,old_pgmrs_will,いにしえ@AIクリエイター,227.74,155.87,46.11,4,258.8,21,492,✓,,4699,"Sora 1, Sora 1, Gemini 2.5, Gemini 2.5"
226,195,-31,_EricHu,Eric Hu,227.23,163.96,38.58,3,72.7,10,132,✓,,33532,"Midjourney v1, DALL-E 2, Midjourney v6"
227,202,-25,AWSAI,AWS AI,224.49,159.89,40.40,3,70.7,18,109,✓,,2559,"Amazon Nova, Amazon Nova, Amazon Nova"
228,247,19,hey_mujeebahmed,Mujeeb Ahmed,224.00,139.96,60.05,8,198.8,108,317,✓,,37800,"Claude 4, Claude 4, Claude 4, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, Sora 2"
229,253,24,zorpwyd,zorp,223.67,134.99,65.69,3,92.0,28,147,,,994,"Sora 2, Sora 2, Sora 2"
230,227,-3,QuentinDempster,Quentin Dempster,222.17,151.31,46.83,4,144.0,9,302,,,59055,"Manus, Manus, Manus, Manus"
231,264,33,umesh_ai,Umesh,221.89,130.90,69.51,6,218.0,69,397,✓,,37782,"Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, ChatGPT Agent, ChatGPT Agent"
232,243,11,csallen,Courtland Allen,220.63,141.49,55.93,5,184.2,80,479,✓,,67124,"Cursor, Cursor, Cursor, Cursor, Claude 4"
233,259,26,flavioAd,Flavio Adamo,220.48,132.18,66.80,3,103.3,19,180,✓,,7609,"Gemini 2.0 Flash, GPT-4.5, ChatGPT Agent"
234,228,-6,ChristineMilne,Christine Milne AO,219.99,149.83,46.83,4,137.8,29,277,,,82655,"Manus, Manus, Manus, Manus"
235,256,21,Alibaba_Qwen,Qwen,219.90,133.60,64.60,2,40.5,35,46,✓,,116859,"Gemini 2.5, GPT-5"
236,207,-29,hq4ai,汗青 HQ,219.88,158.29,38.91,2,25.0,7,43,✓,,32854,"Midjourney v1, Midjourney V1 video model"
237,231,-6,NSMQGhana,National Science & Maths Quiz,219.81,149.70,46.83,4,100.5,70,127,✓,,690666,"Manus, Manus, Manus, Manus"
238,257,19,ChaseBrowe32432,Chase Brower,219.07,132.87,64.87,2,48.5,9,88,✓,,1392,"Claude 4, Claude 4"
239,261,22,gauravisnotme,Gaurav,218.06,131.98,65.22,2,46.0,16,76,✓,,2933,"Claude 4, GPT-5"
240,252,12,DataChaz,Charly Wargnier,218.05,135.83,60.53,3,82.0,51,107,✓,,139511,"Gemini 2.0 Flash, GPT-4.5, ChatGPT Agent"
241,234,-7,okumuratakashix,奥村たかし＠滋賀AI漫画家,217.32,148.91,45.94,2,29.5,29,30,✓,,2151,"Sora 1, Sora 1"
242,277,35,wavefnx,wavefnx,217.31,125.54,73.10,2,51.0,21,81,✓,,5324,"Gemini 2.0 Flash, Gemini 2.0 Flash"
243,249,6,Abdulaziz_Hmadi,عبدالعزيز الحمادي,215.46,139.13,54.86,2,36.5,30,43,✓,,1574803,"GPT-4, Veo 2"
244,230,-14,kregenrek,Kevin Kern,214.98,149.77,43.54,2,33.5,3,64,✓,,18815,"GPT-4o Image Generation, Cursor 1.0"
245,244,-1,oran_ge,orange.ai,213.40,140.13,52.29,3,116.0,14,255,✓,,137261,"Gemini 1.0, Gemini 2.0 Flash, Claude 4"
246,268,22,daniel_mac8,Dan Mac,213.38,129.04,65.35,5,264.0,30,484,✓,,13419,"Gemini 2.0 Flash, Claude 4, Claude 4, GPT-5, GPT-5"
247,235,-12,CSM_ai,Common Sense Machines,213.21,145.28,46.76,2,37.0,5,69,,,9856,"GPT-4o Image Generation, GPT-4o Image Generation"
248,218,-30,doganuraldesign,Dogan Ural,213.13,154.13,38.28,4,111.0,53,194,✓,,91773,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1"
249,216,-33,anthrupad,w̸͕͂͂a̷͔̗͐t̴̙͗e̵̬̔̕r̴̰̓̊m̵͙͖̓̽a̵̢̗̓͒r̸̲̽ķ̷͔́͝,213.03,154.24,38.11,2,26.0,24,28,✓,,14824,"Claude 1, Claude 1"
250,217,-33,ClementDelangue,clem 🤗,212.31,154.17,37.71,2,27.0,13,41,✓,,157227,"Stable Diffusion v2, Stable Diffusion v2"
251,260,9,MLBear2,ML_Bear,211.80,132.03,60.41,5,240.4,42,419,✓,,9941,"Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 4, GPT-5"
252,237,-15,swyx,swyx,210.27,143.29,46.75,3,79.3,51,128,✓,,127333,"Amazon Nova, Amazon Nova, Gemini 2.0 Flash"
253,250,-3,elder_plinius,Pliny the Liberator 🐉󠅫󠄼󠄿󠅆󠄵󠄐󠅀󠄼󠄹󠄾󠅉󠅭,209.48,137.77,52.05,4,143.8,35,308,✓,,135884,"Gemini 1.0, Gemini 2.0 Flash, GPT-4.5, Sora 2"
254,229,-25,LangChainJP,LangChainJP,209.21,149.78,39.68,3,179.7,27,480,✓,,7896,"Amazon Nova, Genie 2, Gemini 2.5"
255,255,0,d_1d2d,d,208.72,134.09,55.65,6,238.2,12,384,✓,,35046,"Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5"
256,258,2,romainhuet,Romain Huet,208.66,132.85,57.06,14,346.6,75,498,✓,,33181,"Cursor, Cursor, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4.5, GPT-4.5, GPT-5, GPT-5, GPT-5, GPT-5"
257,242,-15,soumithchintala,Soumith Chintala,207.42,141.60,46.49,9,257.9,54,441,✓,,252965,"GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-5"
258,233,-25,jowettbrendan,Brendan Jowett,207.37,149.08,39.10,3,166.3,2,427,✓,,11663,"Claude 1, Amazon Nova, Veo 2"
259,278,19,legit_api,ʟᴇɢɪᴛ,206.84,124.92,65.57,11,275.3,74,451,✓,,11004,"Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Veo 2, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5"
260,248,-12,joshm,Josh Miller,205.55,139.37,47.48,6,165.7,72,266,✓,,80706,"GitHub Copilot, Cursor, Cursor, Cursor, Cursor, Cursor"
261,238,-23,ChrisLaubAI,Chris Laub,205.31,142.39,44.19,3,150.3,1,360,✓,,10092,"Claude 1, Gemini 2.5, ChatGPT Agent"
262,276,14,bigaiguy,Spencer Baggins,204.07,125.63,62.43,3,145.0,24,327,✓,,13202,"Veo 2, Veo 2, Claude 4"
263,273,10,zhang_benita,張小珺 Xiaojùn,200.50,127.16,57.68,3,88.3,63,118,✓,,17825,"ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
264,251,-13,AndrewYNg,Andrew Ng,200.29,136.88,46.32,2,38.0,34,42,✓,,1272457,"GPT-4, GPT-4"
265,286,21,NuisanceNY,Nuisance,199.79,120.58,65.69,2,53.0,31,75,,,420,"Sora 2, Sora 2"
266,272,6,GaryMarcus,Gary Marcus,198.62,127.57,55.70,5,142.2,94,198,✓,,194316,"DALL-E 2, DALL-E 2, GPT-5, Sora 2, Sora 2"
267,287,20,Atarnity,Atarnity,198.46,119.78,65.69,3,100.0,52,153,,,711,"Sora 2, Sora 2, Sora 2"
268,279,11,thetripathi58,Chidanand Tripathi,197.84,124.55,58.84,8,261.1,51,479,✓,,76154,"GPT-4.5, GPT-4.5, Claude 4, Claude 4, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
269,239,-30,its_me_remi,Remi X,197.57,142.15,38.99,2,35.5,19,52,✓,,2153,"Midjourney v6, Midjourney v6"
270,266,-4,bindureddy,Bindu Reddy,196.78,130.17,51.18,5,189.4,29,295,✓,,165038,"Amazon Nova, GPT-5, GPT-5, GPT-5, Sora 2"
271,245,-26,aaditsh,Aadit Sheth,196.66,140.07,40.40,2,45.0,1,89,✓,,522970,"Amazon Nova, Amazon Nova"
272,265,-7,nikkei,日本経済新聞 電子版（日経電子版）,196.02,130.89,49.76,7,263.6,50,483,✓,,4117426,"GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4.5, GPT-5"
273,283,10,nadzi_mouad,Mouad,191.88,122.90,56.13,3,113.0,48,222,✓,,1508,"Claude 3.5 Haiku, ChatGPT Agent, ChatGPT Agent"
274,289,15,burkov,BURKOV,191.80,119.32,60.75,3,93.3,75,112,✓,,47090,"GPT-4.5, Gemini 2.5, Gemini 2.5"
275,263,-12,deepfates,deepfates,191.55,131.28,45.92,4,147.5,49,293,✓,,52340,"DALL-E 2, Stable Diffusion 3, Gemini 2.5, GPT-4o Image Generation"
276,281,5,dharmesh,dharmesh,191.39,123.15,55.41,8,238.6,66,446,✓,,337534,"GitHub Copilot, DALL-E 2, GPT-4, GPT-4, Gemini 2.5, GPT-5, GPT-5, GPT-5"
277,274,-3,ESYudkowsky,Eliezer Yudkowsky ⏹️,190.04,126.30,50.47,8,321.8,51,472,✓,,209246,"DALL-E 2, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-5"
278,299,21,aixradar,Hasnain,189.17,114.17,65.69,4,131.5,87,183,✓,,616,"Sora 2, Sora 2, Sora 2, Sora 2"
279,275,-4,npaka123,布留川英一 / Hidekazu Furukawa,188.57,126.18,49.45,10,301.5,48,488,✓,,15352,"Stable Diffusion 3, Amazon Nova, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Veo 2, Veo 2, Veo 2, ChatGPT Agent"
280,254,-26,JorgeSinCodigo,Jorge SinCodigo,188.18,134.12,40.30,2,40.0,37,43,,,6063,"Lovable 2.0, Lovable 2.0"
281,271,-10,Heaney555,David Heaney,187.59,127.83,46.76,2,48.5,21,76,✓,,5476,"GPT-4o Image Generation, GPT-4o Image Generation"
282,297,15,FutureStacked,Future Stacked,186.86,116.02,61.06,4,152.2,49,275,✓,,267807,"Gemini 2.0 Flash, Veo 2, Claude 4, ChatGPT Agent"
283,280,-3,SmokeAwayyy,Smoke-away,184.78,123.50,49.63,3,189.7,39,470,✓,,156885,"DALL-E 3, Sora 2, Sora 2"
284,288,4,paulgauthier,Paul Gauthier,183.84,119.47,53.89,2,54.5,30,79,✓,,8948,"Claude 3.5 Haiku, Claude 3.5 Haiku"
285,302,17,patloeber,Patrick Loeber,183.12,112.23,63.17,4,169.2,77,369,✓,,67534,"Veo 2, Veo 2, Gemini 2.5, Gemini 2.5"
286,308,22,shiromeshitaisa,しろめし🍚｜AI×映像業界｜Sora2,182.99,110.44,65.69,3,140.7,37,281,✓,,715,"Sora 2, Sora 2, Sora 2"
287,262,-25,freeeebird2300,Bird / AI art and Music,182.70,131.46,38.98,2,47.0,15,79,✓,,2882,"Midjourney v1, Midjourney V1 video model"
288,270,-18,heydave7,Dave Lee,181.76,128.40,41.56,9,312.3,14,466,✓,,586085,"GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, Midjourney v6, GPT-5"
289,293,4,bioshok3,bioshok（INFJ）,181.12,117.30,54.40,4,226.5,12,378,✓,,29004,"Gemini 2.0 Flash, Claude 3.5 Haiku, GPT-4.5, Claude 4"
290,282,-8,luke_oriordan,Luke O’Riordan,180.81,123.15,46.83,5,181.0,55,280,,,8609,"Manus, Manus, Manus, Manus, Manus"
291,309,18,javilopen,Javi Lopez ⛩️,180.47,110.29,63.62,4,222.8,55,384,✓,,119758,"Stable Diffusion 3, Veo 2, Sora 2, Sora 2"
292,267,-25,syamiyo,sami,179.66,129.92,38.28,6,181.0,65,293,,,645,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1"
293,269,-24,Scobleizer,Robert Scoble,179.34,128.64,39.41,3,122.7,11,235,✓,,543903,"GPT-4, GPT-4, DALL-E 3"
294,311,17,jasonzada,Jason Zada,178.94,110.22,62.36,2,94.5,6,183,✓,,11116,"Veo 2, Veo 2"
295,285,-10,RisingSayak,Sayak Paul,178.43,122.29,45.91,3,105.0,30,149,✓,,20849,"Gemini 1.0, Stable Diffusion 3, Stable Diffusion 3"
296,320,24,yuji_ikegaya,池谷裕二,177.91,107.37,65.69,2,72.0,27,117,✓,,85816,"Sora 2, Sora 2"
297,294,-3,Kyle_L_Wiggers,Kyle Wiggers,177.59,117.20,51.53,2,65.0,16,114,,,66927,"GPT-4, GPT-4.5"
298,316,18,dejavucoder,sankalp,177.00,108.80,62.68,5,197.2,67,354,✓,,16966,"Claude 3.5 Haiku, Claude 4, Claude 4, GPT-5, GPT-5"
299,296,-3,jerryjliu0,Jerry Liu,176.65,116.15,52.09,3,174.0,30,401,✓,,65571,"Amazon Nova, Gemini 2.0 Flash, Gemini 2.5"
300,342,42,cjzafir,CJ Zafir,175.12,101.17,73.10,2,136.0,6,266,✓,,51169,"Gemini 2.0 Flash, Gemini 2.0 Flash"
301,300,-1,shields_pikes,岡安モフモフ（アーガイル社長）＠ChatGPT/Gemini/ClaudeなどLLMでサービス作る人,175.04,114.04,53.49,9,270.6,69,405,✓,,12178,"GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5"
302,291,-11,knshtyk,sabakichi,175.01,117.40,49.07,2,76.0,6,146,✓,,13695,"Stable Diffusion 3, Stable Diffusion 3"
303,284,-19,moritalous,moritalous | Kazuaki Morita,174.76,122.70,42.43,4,121.8,100,169,,,1356,"Amazon Nova, Amazon Nova, Amazon Nova, Claude 3.5 Haiku"
304,328,24,amandevx,Aman DevX,174.01,105.02,65.69,8,212.4,145,274,✓,,2713,"Sora 2, Sora 2, Sora 2, Sora 2, Sora 2, Sora 2, Sora 2, Sora 2"
305,322,17,kamui_qai,神威/KAMUI,173.80,106.53,63.14,6,251.0,89,441,✓,,40959,"Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 4, Claude 4, Claude 4"
306,331,25,SonicAndSimsFan,SonicAndSimsFan  🎃🧟‍♂️,172.85,104.32,65.69,2,113.5,7,220,,,3726,"Sora 2, Sora 2"
307,321,14,willccbb,will brown,170.55,106.86,59.61,5,189.2,101,374,✓,,34531,"GPT-4.5, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
308,290,-18,socialwithaayan,Muhammad Ayan,169.94,118.03,43.98,5,266.8,2,426,✓,,45491,"Veo 2, Claude 4, Claude 4, Claude 4, Lovable Agent Mode"
309,327,18,FellMentKE,FELIX,169.20,105.10,60.98,4,184.2,56,385,✓,,261905,"Claude 4, Claude 4, GPT-5, ChatGPT Agent"
310,330,20,MattVidPro,MattVidPro AI,168.51,104.38,61.44,5,229.8,33,376,✓,,14094,"Stable Diffusion 3, Veo 2, Veo 2, Claude 4, ChatGPT Agent"
311,314,3,majidmanzarpour,Majid Manzarpour,167.53,109.55,52.93,3,210.3,18,475,✓,,7260,"Gemini 2.0 Flash, Veo 2, GPT-4o Image Generation"
312,306,-6,VitalikButerin,vitalik.eth,167.50,111.01,50.89,2,106.5,1,212,✓,,5827884,"Stable Diffusion 3, GPT-5"
313,346,33,PJaccetturo,PJ Ace,166.56,100.52,65.69,3,210.3,10,359,✓,,57499,"Sora 2, Sora 2, Sora 2"
314,292,-22,marcvidal,MΛRC VIDΛL,163.81,117.32,39.63,2,72.0,9,135,✓,,267127,"DALL-E 2, GPT-4"
315,313,-2,skirano,Pietro Schirano,163.75,109.57,49.45,2,71.5,23,120,✓,,91834,"DALL-E 2, Claude 3.5 Haiku"
316,307,-9,binarybits,Timothy B. Lee,163.11,110.78,47.23,5,227.2,33,374,,,45775,"GPT-4, Gemini 1.0, Gemini 2.0 Flash, Gemini 2.0 Flash, ChatGPT Agent"
317,367,50,QuantumV3,QuantumV,162.41,98.02,65.69,1,2.0,2,2,,,335,Sora 2
318,334,16,_saip_,saip🐣 / さいぴ,162.06,103.90,55.97,3,162.0,17,254,✓,,61790,"Gemini 2.0 Flash, Veo 2, GPT-4.5"
319,335,16,Azure,Microsoft Azure,161.56,103.55,56.01,8,259.2,78,421,,,1069949,"GitHub Copilot, GPT-4, GPT-4, GPT-4, Stable Diffusion 3, GPT-5, GPT-5, GPT-5"
320,324,4,dhh,DHH,161.21,106.22,51.77,4,205.0,31,369,✓,,566637,"Cursor, Cursor, Cursor, Cursor"
321,318,-3,marc_louvion,Marc Lou,160.83,108.71,47.95,3,183.0,39,417,✓,,208916,"Stable Diffusion v2, Claude 4, Claude 4"
322,295,-27,jrhennessy,james hennessy,160.81,116.76,37.73,2,54.0,48,60,,,34396,"DALL-E 2, DALL-E 2"
323,382,59,JamesLucasIT,James Lucas,160.79,97.04,65.69,1,3.0,3,3,✓,,736738,Sora 2
324,358,34,tendo_14,Tendo 𒌐,160.74,99.00,62.36,1,1.0,1,1,,,2770,Veo 2
325,305,-20,msdev,Microsoft Developer,160.63,111.54,44.01,10,299.4,51,479,,,509086,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GPT-5, GPT-5"
326,298,-28,swrmai,Cousin Greg,160.62,115.51,39.05,2,66.0,18,114,✓,,5551,"Midjourney v1, Midjourney V1 video model"
327,319,-8,googledevs,Google for Developers,160.55,108.04,48.61,2,92.0,10,174,✓,,2657957,"Gemini 1.0, Gemini 2.0 Flash"
328,317,-11,MishaalRahman,Mishaal Rahman,159.03,108.79,46.18,2,102.0,5,199,✓,,69521,"Gemini 1.0, Veo 2"
329,332,3,tanayj,Tanay Jaipuria,158.57,104.03,52.43,9,297.4,73,495,✓,,69987,"GitHub Copilot, GitHub Copilot, GitHub Copilot, Cursor, Cursor, Cursor, GPT-4, Gemini 2.0 Flash, Gemini 2.5"
330,374,44,jetbrains,JetBrains,158.38,97.04,63.20,6,242.5,91,447,,,205287,"Cursor, GPT-4, Gemini 2.0 Flash, Gemini 2.5, Claude 4, Claude 4"
331,362,31,hrrcnes,hurricane,158.24,98.25,61.05,3,115.0,86,150,✓,,173497,"Manus, Claude 4, Sora 2"
332,337,5,mattppal,matt palmer,158.15,102.77,53.89,2,81.0,26,136,✓,,33562,"Claude 3.5 Haiku, Claude 3.5 Haiku"
333,326,-7,Griffin_AI,GriffinAI | The #1 AI Agent Builder for DeFi 🤖,158.03,105.26,50.13,3,107.0,91,138,✓,,64402,"Stable Diffusion 3, Stable Diffusion 3, GPT-4.5"
334,339,5,aidan_mclau,Aidan McLaughlin,157.64,102.50,53.80,2,87.5,21,154,✓,,43445,"Claude 3.5 Haiku, GPT-4.5"
335,396,61,bendyjw,bendyjw🐍,157.61,95.12,65.69,1,5.0,5,5,,,13791,Sora 2
336,323,-13,maxifirtman,Maximiliano Firtman,156.97,106.27,47.71,3,223.3,5,433,✓,,75861,"Sora 1, Veo 2, GPT-5"
337,333,-4,DavidSacks,David Sacks,156.87,103.97,50.88,2,95.5,14,177,✓,,1390521,"Cursor, GPT-4"
338,450,112,iliane_5,iliane,156.62,90.48,73.10,1,10.0,10,10,✓,,1792,Gemini 2.0 Flash
339,301,-38,balajis,Balaji,156.60,112.61,39.07,3,157.3,48,350,✓,,1195315,"GitHub Copilot, DALL-E 2, Cursor"
340,405,65,Raindropsmedia1,Rain Drops Media,156.04,94.18,65.69,1,6.0,6,6,✓,,178586,Sora 2
341,390,49,estefierritox,Estefierrito,155.99,96.08,62.36,1,4.0,4,4,,,65981,Veo 2
342,303,-39,rjchicago,🆁🅹 💚,155.67,112.00,38.99,2,58.0,56,60,✓,,6466,"Midjourney v6, Midjourney v6"
343,312,-31,AIBuzzNews,Patrick's AIBuzzNews,155.65,110.09,41.39,2,110.5,1,220,✓,,19033,"GPT-4.5, Lovable Agent Mode"
344,304,-40,beholdersai,beholdersai,155.09,111.61,38.96,3,132.7,34,251,✓,,8260,"Midjourney v1, Midjourney v1, Midjourney V1 video model"
345,349,4,TechCrunch,TechCrunch,155.08,99.86,55.30,14,356.2,87,481,✓,,10224207,"GitHub Copilot, GitHub Copilot, Cursor, Cursor, Cursor, Cursor, GPT-4, GPT-4, Veo 2, GPT-4.5, Gemini 2.5, GPT-5, GPT-5, ChatGPT Agent"
346,458,112,petergyang,Peter Yang,155.07,89.58,73.10,1,11.0,11,11,✓,,148902,Gemini 2.0 Flash
347,408,61,VictorTaelin,Taelin,154.51,93.65,64.98,2,123.5,18,229,✓,,62180,"Claude 4, GPT-5"
348,341,-7,kiyoshi_shin,新清士@(生成AI)インディゲーム開発者,154.47,102.29,51.01,8,245.0,90,392,✓,,41824,"Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash"
349,338,-11,zephyr_z9,Zephyr,154.11,102.72,50.03,5,240.6,47,383,✓,,33194,"Amazon Nova, Claude 4, Claude 4, GPT-5, Sora 2"
350,464,114,VickyLovesAI,Vicky S,153.85,88.88,73.10,2,204.0,14,394,✓,,1151,"Gemini 2.0 Flash, Gemini 2.0 Flash"
351,315,-36,ghumare64,Rohit Ghumare,153.81,109.03,41.08,2,82.5,14,151,✓,,76618,"Midjourney v1, Cursor 1.0"
352,416,64,0x_Sero,0xSero,153.73,93.24,64.87,1,7.0,7,7,✓,,2246,Claude 4
353,352,-1,cline,Cline,153.66,99.77,54.01,3,208.7,27,449,✓,,51803,"Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 4"
354,468,114,majed_9_4,ماجد,153.52,88.69,73.10,1,12.0,12,12,✓,,199273,Gemini 2.0 Flash
355,418,63,Dr_Singularity,Dr Singularity,153.37,93.05,64.83,6,227.3,73,301,✓,,43143,"Veo 2, Gemini 2.5, Gemini 2.5, Claude 4, GPT-5, GPT-5"
356,310,-46,yozdesigner,Keshav Grover,153.31,110.24,39.07,2,73.0,20,126,✓,,8382,"Midjourney v1, Midjourney V1 video model"
357,471,114,gufutokuku999,ぐふとくく,153.29,88.56,73.10,12,361.2,101,496,✓,,33443,"Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash"
358,351,-7,GratomicAi,Gratomic AI Bot | هوش مصنوعی گراتومیک,153.08,99.86,53.29,5,180.2,100,235,,,32772,"Stable Diffusion 3, Claude 3.5 Haiku, Claude 3.5 Haiku, GPT-4.5, GPT-4.5"
359,430,71,blephin_,hydra,152.95,92.31,65.69,1,8.0,8,8,✓,,106727,Sora 2
360,417,57,heydin_ai,Dinda Prasetyo,152.33,93.18,63.48,3,206.7,26,399,✓,,3612,"Gemini 2.5, Gemini 2.5, Gemini 2.5"
361,436,75,mikefutia,Mike Futia,151.43,91.39,65.69,1,9.0,9,9,✓,,30768,Sora 2
362,350,-12,chamath,Chamath Palihapitiya,150.74,99.86,50.95,4,168.0,53,255,✓,,1903488,"Cursor, GPT-4, GPT-4, Sora 2"
363,329,-34,VisualStudio,Microsoft Visual Studio,150.74,104.63,44.07,8,242.6,108,447,✓,,536894,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GPT-4, GPT-5, GPT-5"
364,325,-39,asimo3089,asimo3089,150.64,106.17,41.88,2,72.5,29,116,✓,,981727,"DALL-E 2, Cursor"
365,336,-29,AngryTomtweets,Angry Tom,150.58,103.24,45.86,6,275.7,28,434,✓,,143717,"Genie 2, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Gemini 2.5"
366,437,71,K_Ishi_AI,K.Ishi@生成AIの産業応用,150.05,91.38,64.21,5,211.0,77,371,✓,,9517,"Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, GPT-4.5, Sora 2"
367,347,-20,InfraX_,infraX | $INFRA,149.66,100.40,49.07,2,69.0,65,73,✓,,11440,"Stable Diffusion 3, Stable Diffusion 3"
368,340,-28,Rana_kamran43,kamran Hassan,149.65,102.44,46.09,5,262.6,25,405,✓,,58452,"Veo 2, Lovable 2.0, Claude 4, Claude 4, Claude 4"
369,452,83,lautidev_,Lauti,149.18,90.48,64.87,1,10.0,10,10,✓,,16245,Claude 4
370,463,93,erhanmeydan,Erhan Meydan,148.44,88.99,66.79,5,183.6,104,242,✓,,15351,"Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, Veo 2"
371,460,89,AiAircle34052,Aircle｜無料AIコミュニティ,148.43,89.58,65.69,1,11.0,11,11,✓,,1408,Sora 2
372,454,82,Vinay_bharambe,Vinay Bharambe,148.33,89.97,64.87,4,150.0,135,167,✓,,21710,"Claude 4, Claude 4, Claude 4, Claude 4"
373,498,125,AiFreak_tool,AI FREAK@AI最新情報をお届け,147.50,85.21,73.10,1,16.0,16,16,✓,,19912,Gemini 2.0 Flash
374,377,3,ColorfulStageEN,HATSUNE MIKU: COLORFUL STAGE!,147.29,97.04,51.77,1,3.0,3,3,✓,,375896,Cursor
375,343,-32,RichardSocher,Richard Socher,147.12,100.73,46.06,4,242.0,62,496,✓,,112728,"GitHub Copilot, GPT-4, GPT-4, GPT-4"
